id,title ,image_link ,country ,years ,director_description,leader,star ,description,tags,
219,谍影重重2,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p667644866.jpg,美国 德国,2004, 保罗·格林格拉斯 Paul Greengrass, 马特·达蒙 Matt Damon,8.6,谁说王家卫镜头很晃？,动作/悬疑/惊悚,
220,谍影重重,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1597183981.jpg,美国 德国 捷克,2002, 道格·里曼 Doug Liman, 马特·达蒙 Matt Damon,8.6,哗啦啦啦啦，天在下雨，哗啦啦啦啦，云在哭泣……找自己。,动作/悬疑/惊悚,
221,青蛇,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p584021784.jpg,中国香港,1993, 徐克 Hark Tsui, 张曼玉 Maggie Cheung,8.5,人生如此，浮生如斯。谁人言，花彼岸，此生情长意短。谁都是不懂爱的罢了。,剧情/爱情/奇幻/古装,
222,猜火车,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p513567548.jpg,英国,1996, 丹尼·博伊尔 Danny Boyle, 伊万·麦克格雷格 Ewan McGregor,8.5,不可猜的青春迷笛。 ,剧情/犯罪,
223,战争之王,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p792282381.jpg,美国 法国,2005, 安德鲁·尼科尔 Andrew Niccol, 尼古拉斯·凯奇 Nicolas Cage,8.6,做一颗让别人需要你的棋子。,剧情/犯罪,
224,地球上的星星,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1973489335.jpg,印度,2007, 阿米尔·汗 Aamir Khan, 达席尔·萨法瑞 Darsheel Safary,8.9,天使保护事件始末。,剧情/儿童/家庭,
225,血钻,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1244017073.jpg,美国 德国,2006, 爱德华·兹威克 Edward Zwick, 莱昂纳多·迪卡普里奥 Leonardo ...,8.6,每个美丽事物背后都是滴血的现实。,剧情/惊悚/冒险,
226,朗读者,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1140984198.jpg,美国 德国,2008, 史蒂芬·戴德利 Stephen Daldry, 凯特·温丝莱特 Kate Winslet ...,8.6,当爱情跨越年龄的界限，它似乎能变得更久远一点，成为一种责任，一种水到渠成的相濡以沫。 ,剧情/爱情,
227,浪潮,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1344888983.jpg,德国,2008, 丹尼斯·甘塞尔 Dennis Gansel, 尤尔根·沃格尔 Jürgen Vogel ...,8.7,世界离独裁只有五天。,剧情/惊悚,
228,色，戒,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p453716305.jpg,中国台湾 中国大陆 美国 中国香港,2007, 李安 Ang Lee, 梁朝伟 Tony Leung Chiu Wai,8.4,假戏真情，爱欲深海,剧情/爱情/情色,
